"PLAYERS","DFG","BOT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Connor McDavid                                3","F","GVR","EDM","29","$11.4","62","105","1.7"
"Nathan MacKinnon                                3","F","MAC","COL","31","$8.5","59","100","1.7"
"Nikita Kucherov                                3","F","ZSK","TBL","33","$10.0","55","96","1.7"
"Leon Draisaitl                                3","F","GVR","EDM","30","$11.4","59","90","1.5"
"Macklin Celebrini                                A","F","LPT","SJS","20","$0.9","59","87","1.5"
"Kirill Kaprizov                                2","F","LPT","MIN","29","$6.9","62","75","1.2"
"Mark Scheifele                                3","F","LPT","WPG","33","$5.7","60","73","1.2"
"David Pastrnak                                3","F","SHF","BOS","30","$6.7","55","72","1.3"
"Martin Necas                                2","F","SRL","COL","27","$2.4","57","72","1.3"
"Jason Robertson                                2","F","GVR","DAL","27","$5.6","61","72","1.2"
"Matt Boldy                                2","F","GVR","MIN","25","$3.4","58","72","1.2"
"Evan Bouchard                                2","D","HSM","EDM","26","$5.6","62","71","1.1"
"Mikko Rantanen                                3","F","MAC","DAL","29","$6.5","54","69","1.3"
"Nick Suzuki                                2","F","SHF","MTL","27","$3.0","60","69","1.2"
"Jack Eichel                                2","F","SRL","VGK","29","$6.6","54","69","1.3"
"Kyle Connor                                3","F","LPT","WPG","29","$5.8","60","68","1.1"
"Zach Werenski                                3","D","BOT","CBJ","29","$4.6","54","65","1.2"
"Wyatt Johnston                                A","F","GVR","DAL","23","$0.7","61","65","1.1"
"Lucas Raymond                                2","F","LGN","DET","24","$4.5","60","65","1.1"
"Tim Stutzle                                C","F","BOT","OTT","24","$2.5","60","65","1.1"
"Tage Thompson                                2","F","VPP","BUF","28","$6.0","61","64","1.0"
"Cale Makar                                2","D","LGN","COL","27","$8.0","60","64","1.1"
"Jake Guentzel                                3","F","SRL","TBL","31","$5.9","59","64","1.1"
"Alex DeBrincat                                3","F","MAC","DET","28","$3.2","62","62","1.0"
"Ilya Sorokin                                3","G","SRL","NYI","31","$3.1","37","62","1.7"
"Andrei Vasilevskiy                                3","G","MAC","TBL","32","$7.4","40","62","1.6"
"Mitch Marner                                3","F","SHF","VGK","29","$6.4","61","62","1.0"
"Sebastian Aho                                3","F","VPP","CAR","29","$6.0","61","61","1.0"
"Karel Vejmelka                                3","G","ZSK","UTA","30","$1.5","48","61","1.3"
"Quinn Hughes                                2","D","SRL","MIN","26","$5.2","56","61","1.1"
"Cole Caufield                                2","F","LGN","MTL","25","$3.0","60","60","1.0"
"Lane Hutson                                A","D","ZSK","MTL","22","$0.5","60","60","1.0"
"Artemi Panarin                                3","F","BOT","LAK","34","$7.6","56","60","1.1"
"Clayton Keller                                3","F","HSM","UTA","28","$3.3","61","60","1.0"
"Mark Stone                                3","F","VPP","VGK","34","$2.7","43","60","1.4"
"Ryan O'Reilly                                3","F","JHN","NSH","35","$0.5","61","59","1.0"
"Sidney Crosby                                3","F","LPT","PIT","39","$5.2","56","59","1.1"
"John Gibson                                3","G","UFA","DET","33","$0.5","39","58","1.5"
"Connor Bedard                                A","F","LGN","CHI","21","$0.9","48","57","1.2"
"Sam Reinhart                                3","F","JHN","FLA","30","$6.4","61","57","0.9"
"Travis Konecny                                3","F","HSM","PHI","29","$3.4","58","57","1.0"
"William Nylander                                3","F","SRL","TOR","30","$5.2","45","57","1.3"
"Jake Oettinger                                2","G","ZSK","DAL","27","$5.6","39","56","1.4"
"Brandon Bussi                                3","G","UFA","CAR","28","$0.5","29","56","1.9"
"Nick Schmaltz                                3","F","BOT","UTA","30","$1.4","61","56","0.9"
"Cutter Gauthier                                A","F","LPT","ANA","22","$0.8","60","55","0.9"
"Morgan Geekie                                3","F","LPT","BOS","28","$0.7","59","55","0.9"
"Mathew Barzal                                3","F","ZSK","NYI","29","$2.3","61","55","0.9"
"Brandon Hagel                                3","F","SRL","TBL","28","$5.7","54","55","1.0"
"Dylan Larkin                                3","F","BOT","DET","30","$2.7","62","54","0.9"
"Darren Raddysh                                3","D","BOT","TBL","30","$0.9","53","54","1.0"
"Rasmus Dahlin                                3","D","SHF","BUF","26","$5.6","57","53","0.9"
"Andrei Svechnikov                                3","F","SHF","CAR","26","$3.8","61","53","0.9"
"Sergei Bobrovsky                                3","G","JHN","FLA","37","$6.5","43","53","1.2"
"Brad Marchand                                3","F","SRL","FLA","38","$1.2","50","53","1.1"
"Filip Gustavsson                                2","G","BOT","MIN","28","$3.2","39","53","1.4"
"Mika Zibanejad                                3","F","JHN","NYR","33","$3.0","59","53","0.9"
"Drake Batherson                                3","F","BOT","OTT","28","$1.9","57","53","0.9"
"Tomas Hertl                                3","F","MAC","VGK","32","$2.0","62","53","0.9"
"Alex Tuch                                3","F","LPT","BUF","30","$2.0","60","52","0.9"
"Brock Nelson                                3","F","ZSK","COL","34","$1.4","60","52","0.9"
"Auston Matthews                                3","F","HSM","TOR","28","$6.6","56","52","0.9"
"Gabriel Vilardi                                2","F","ZSK","WPG","27","$0.9","60","52","0.9"
"Beckett Sennecke                                A","F","JHN","ANA","20","$0.6","61","51","0.8"
"Kirill Marchenko                                2","F","LGN","CBJ","26","$2.7","54","51","0.9"
"John Tavares                                3","F","SHF","TOR","35","$3.0","62","51","0.8"
"Dylan Guenther                                A","F","LPT","UTA","23","$0.8","59","51","0.9"
"Leo Carlsson                                A","F","LGN","ANA","21","$0.9","49","50","1.0"
